iter	Passed	Remaining
887	56694	19919
888	56767	19858
889	56828	19794
890	56890	19729
891	56949	19664
892	57011	19599
893	57073	19535
894	57135	19470
895	57196	19405
896	57258	19341
897	57319	19276
898	57380	19212
899	57442	19147
900	57516	19086
901	57579	19022
902	57638	18957
903	57702	18893
904	57768	18830
905	57829	18765
906	57889	18700
907	57948	18635
908	58010	18571
909	58074	18507
910	58134	18442
911	58196	18377
912	58261	18314
913	58329	18251
914	58392	18187
915	58451	18122
916	58529	18063
917	58590	17998
918	58652	17934
919	58712	17869
920	58778	17805
921	58838	17740
922	58898	17675
923	58960	17611
924	59027	17548
925	59088	17484
926	59152	17420
927	59212	17355
928	59272	17290
929	59333	17225
930	59395	17161
931	59464	17099
932	59536	17037
933	59637	16984
934	59753	16935
935	59862	16884
936	59972	16833
937	60081	16781
938	60217	16737
939	60323	16685
940	60431	16633
941	60551	16584
942	60662	16532
943	60777	16481
944	60888	16430
945	61001	16378
946	61119	16328
947	61227	16275
948	61339	16223
949	61452	16171
950	61567	16120
951	61690	16070
952	61809	16019
953	61919	15966
954	62030	15913
955	62141	15860
956	62255	15807
957	62370	15755
958	62485	15702
959	62595	15648
960	62708	15595
961	62826	15543
962	62939	15489
963	63052	15436
964	63164	15382
965	63280	15328
966	63400	15276
967	63514	15222
968	63632	15169
969	63741	15113
970	63852	15058
971	63975	15006
972	64092	14952
973	64181	14892
974	64240	14824
975	64301	14757
976	64361	14690
977	64425	14624
978	64484	14556
979	64546	14489
980	64606	14422
981	64665	14355
982	64728	14288
983	64801	14224
984	64862	14157
985	64922	14090
986	64983	14023
987	65041	13956
988	65104	13889
989	65164	13822
990	65223	13755
991	65282	13688
992	65345	13621
993	65407	13555
994	65465	13487
995	65524	13420
996	65585	13353
997	65645	13287
998	65705	13220
999	65772	13154
1000	65839	13088
1001	65899	13022
1002	65961	12955
1003	66025	12889
1004	66091	12823
1005	66153	12757
1006	66214	12690
1007	66274	12623
1008	66333	12556
1009	66392	12489
1010	66455	12423
1011	66518	12357
1012	66583	12291
1013	66646	12225
1014	66707	12158
1015	66773	12092
1016	66845	12028
1017	66905	11961
1018	66967	11895
1019	67031	11829
1020	67097	11763
1021	67156	11696
1022	67216	11629
1023	67279	11563
1024	67343	11497
1025	67409	11432
1026	67472	11365
1027	67539	11300
1028	67608	11235
1029	67670	11168
1030	67733	11102
1031	67793	11036
1032	67867	10971
1033	67926	10905
1034	67988	10838
1035	68048	10772
1036	68114	10706
1037	68176	10640
1038	68238	10574
1039	68302	10508
1040	68362	10441
1041	68421	10374
1042	68481	10308
1043	68540	10241
1044	68598	10174
1045	68659	10108
1046	68719	10042
1047	68781	9975
1048	68849	9910
1049	68915	9845
1050	68976	9778
1051	69039	9712
1052	69100	9646
1053	69160	9580
1054	69224	9514
1055	69285	9448
1056	69346	9381
1057	69405	9315
1058	69465	9248
1059	69525	9182
1060	69588	9116
1061	69652	9050
1062	69714	8984
1063	69776	8918
1064	69835	8852
1065	69906	8787
1066	69965	8721
1067	70028	8655
1068	70088	8589
1069	70149	8522
1070	70211	8456
1071	70270	8390
1072	70331	8324
1073	70393	8258
1074	70459	8192
1075	70519	8126
1076	70580	8060
1077	70641	7994
1078	70740	7932
1079	70801	7866
1080	70861	7800
1081	70934	7735
1082	70996	7669
1083	71059	7604
1084	71121	7538
1085	71183	7472
1086	71243	7406
1087	71308	7340
1088	71367	7274
1089	71426	7208
1090	71488	7142
1091	71550	7076
1092	71611	7010
1093	71671	6944
1094	71733	6878
1095	71792	6812
1096	71853	6746
1097	71919	6681
1098	71985	6615
1099	72043	6549
1100	72103	6483
1101	72163	6417
1102	72224	6351
1103	72286	6285
1104	72349	6220
1105	72411	6154
1106	72471	6088
1107	72531	6022
1108	72591	5956
1109	72652	5890
1110	72715	5825
1111	72777	5759
1112	72837	5693
1113	72897	5627
1114	72972	5562
1115	73031	5497
1116	73090	5431
1117	73148	5365
1118	73206	5299
1119	73265	5233
1120	73324	5167
1121	73383	5101
1122	73446	5035
1123	73506	4970
1124	73567	4904
1125	73632	4839
1126	73697	4773
1127	73757	4707
1128	73816	4642
1129	73875	4576
1130	73935	4510
1131	74006	4445
1132	74066	4379
1133	74127	4314
1134	74190	4248
1135	74250	4183
1136	74312	4117
1137	74374	4052
1138	74433	3986
1139	74493	3920
1140	74553	3855
1141	74614	3789
1142	74675	3723
1143	74738	3658
1144	74798	3592
1145	74862	3527
1146	74923	3462
1147	74989	3396
1148	75055	3331
1149	75116	3265
1150	75176	3200
1151	75238	3134
1152	75296	3069
1153	75356	3003
1154	75416	2938
1155	75475	2872
1156	75535	2807
1157	75595	2741
1158	75655	2676
1159	75717	2610
1160	75777	2545
1161	75836	2480
1162	75898	2414
1163	75958	2349
1164	76025	2284
1165	76089	2218
1166	76149	2153
1167	76211	2087
1168	76271	2022
1169	76330	1957
1170	76389	1891
1171	76452	1826
1172	76510	1761
1173	76570	1695
1174	76631	1630
1175	76695	1565
1176	76753	1499
1177	76815	1434
1178	76874	1369
1179	76933	1303
1180	76996	1238
1181	77069	1173
1182	77132	1108
1183	77192	1043
1184	77255	977
1185	77317	912
1186	77379	847
1187	77443	782
1188	77507	717
1189	77565	651
1190	77624	586
1191	77687	521
1192	77747	456
1193	77808	390
1194	77871	325
1195	77932	260
1196	77993	195
1197	78053	130
1198	78126	65
1199	78190	0
